"Technology_Text__c","Sub_Technology_Text__c","Product_Name__c","COUNT"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCSB-B200-M3-U","18"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCS-FI-6248UP-UPG","12"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","N20-C6508-UPG","6"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCSB-B200-M4-U","39"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","THIRD_PARTY_PRODUCT_HW","9"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCSB-B200-M4","6"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCSB-B200-M5","15"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCSC-C240-M6SX","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCS-FI-6296UP","6"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCS-FI-6332","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCS-FI-6248UP","8"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCSB-5108-AC2","6"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCSB-5108-AC2-UPG","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCS-FI-6248UP=","5"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","SFP-H10GB-CU3M","1"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCS-ACC-6248UP","1"
"Security - Access Control - AAA and Policy Management","Cisco Secure ACS 5.x (not Express)","SNS-3415-K9","33"
"Security - Access Control - AAA and Policy Management","Cisco Secure ACS 5.x (not Express)","THIRD_PARTY_PRODUCT_HW","9"
"Security - Access Control - AAA and Policy Management","Cisco Secure ACS 5.x (not Express)","CSACS-1121-K9","15"
"Security - Access Control - AAA and Policy Management","Cisco Secure ACS 5.x (not Express)","VMW-HZAD-100C-2YR","3"
"Security - Access Control - AAA and Policy Management","Cisco Secure ACS 5.x (not Express)","CSACS-3415-K9","3"
"LAN Switching","Cat6000, 6500 (Supervisor 1, 1a, 2, or 720)","THIRD_PARTY_PRODUCT_HW","6"
"LAN Switching","Cat6000, 6500 (Supervisor 1, 1a, 2, or 720)","VS-C6509E-S720-10G","6"
"LAN Switching","Cat6500 Virtual Switch System (VSS)","WS-C6506-E-FWM-K8","3"
"LAN Switching","Cat6500 Virtual Switch System (VSS)","VS-C6509E-S720-10G","3"
"LAN Switching","Cat6500 Virtual Switch System (VSS)","WS-X6724-SFP","3"
"Hardware","Cat6000/Cat6500 Hardware Failure","VS-F6K-PFC3C","3"
"Hardware","Cat6000/Cat6500 Hardware Failure","VS-S720-10G-3C","3"
"Hardware","Cat6000/Cat6500 Hardware Failure","WS-X6708-10GE","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Storage - SAN/Remote Boot (iSCSI, FCoE, Fibre Channel, etc.)","UCS-FI-6248UP-UPG","4"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Storage - SAN/Remote Boot (iSCSI, FCoE, Fibre Channel, etc.)","UCSB-B200-M4-U","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Storage - SAN/Remote Boot (iSCSI, FCoE, Fibre Channel, etc.)","UCSB-B200-M3-U","1"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Storage - SAN/Remote Boot (iSCSI, FCoE, Fibre Channel, etc.)","DS-SFP-FC8G-SW","1"
"Smart Services Capabilities","Smart Call Home(No Smart licensing)","NA - NMS","6"
"Smart Services Capabilities","Smart Call Home(No Smart licensing)","UCS-FI-6248UP-UPG","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Call Home / Smart Call Home for Unified Computing System","UCS-FI-6248UP-UPG","31"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Call Home / Smart Call Home for Unified Computing System","UCS-EZ-INFRA-FI48","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Call Home / Smart Call Home for Unified Computing System","THIRD_PARTY_PRODUCT_HW","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Call Home / Smart Call Home for Unified Computing System","UCSB-B200-M4-U","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Call Home / Smart Call Home for Unified Computing System","UCSB-5108-AC2=","1"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Storage - Local (Hard Disk, FlexFlash, NVMe, etc.)","UCS-FI-6248UP-UPG","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Storage - Local (Hard Disk, FlexFlash, NVMe, etc.)","UCS-SD-64G-S","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Storage - Local (Hard Disk, FlexFlash, NVMe, etc.)","UCSB-B200-M5-U","2"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Storage - Local (Hard Disk, FlexFlash, NVMe, etc.)","UCSB-B200-M5","2"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Storage - Local (Hard Disk, FlexFlash, NVMe, etc.)","UCSB-B200-M4-U","2"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Storage - Local (Hard Disk, FlexFlash, NVMe, etc.)","UCSB-5108-AC2=","2"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Upgrade","UCSB-B200-M3-U","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Upgrade","N20-C6508","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Upgrade","UCS-FI-6454","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Upgrade","THIRD_PARTY_PRODUCT_HW","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Upgrade","UCS-FI-6248UP","6"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Upgrade","UCS-FI-6248UP-UPG","7"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Upgrade","UCS-FI-6248UP=","2"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Upgrade","UCSC-C240-M4S","1"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Upgrade","UCSB-B200-M4-U","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Upgrade","UCSC-C240-M5S","1"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Upgrade","UCSB-B200-M5-U","2"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Upgrade","CAB-C19-CBN","1"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Upgrade","UCSB-5108-PKG-HW","1"
"Data Center and Storage Networking","Nexus 2000 Series Fabric Extenders - Switching Issue","N2232TP-E-FA-BUN","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Authentication and Monitoring Issues (LDAP, RADIUS, TACACS, Users, Roles, SNMP, Traffic Monitoring / SPAN )","UCS-FI-6248UP-UPG","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C UCSM Integration","UCS-FI-6248UP-UPG","6"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C UCSM Integration","UCSC-C240-M5S","1"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Network Connectivity","UCS-FI-6248UP","6"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Network Connectivity","UCS-FI-6332","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Network Connectivity","UCS-FI-6248UP-UPG","8"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Network Connectivity","UCSB-B200-M4-U","12"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Network Connectivity","UCS-FI-6248UP=","2"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Network Connectivity","UCSB-B200-M5-U","1"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Thermal, Fans, and Power Supply Alerts","UCS-FI-6248UP-UPG","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Thermal, Fans, and Power Supply Alerts","N20-FAN5","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Thermal, Fans, and Power Supply Alerts","UCSB-5108-AC2-UPG","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Thermal, Fans, and Power Supply Alerts","UCSC-C240-M5S","1"
"LAN Switching","LAN Switching Cat6500 (Supervisor 720) Standalone","WS-C6509-E","3"
"Wireless","Wireless Services Module 2 (WS-SVC-WISM2)","WS-SVC-WISM2HA-K9=","6"
"Data Center Storage and Storage Area Networking (SAN)","Hyperflex Hardware Infrastructure - System/Other Issue","HX240C-M5SX","3"
"Data Center Storage and Storage Area Networking (SAN)","Hyperflex Hardware Infrastructure - System/Other Issue","UCSC-C240-M5SN","3"
"Other","Entitlement / Service Relations","THIRD_PARTY_PRODUCT_HW","9"
"Voice - Communications Manager","Communications Manager LDAP Services (Sync, Authentication)","BE6M-M5-K9","3"
"Voice - Communications Manager","Communications Manager Admin and Web Page","BE6K-ST-BDL-K9=","3"
"Voice - Communications Manager","Communications Manager Admin and Web Page","THIRD_PARTY_PRODUCT_HW","3"
"Voice - Communications Manager","Communications Manager Admin and Web Page","A-FLEX-P-UCM-12X","4"
"Voice - Communications Manager","Certificates (CTL, ITL, TVS, TLS, SRTP, eTokens, Agent Flow SSO, Secure Conferencing)","THIRD_PARTY_PRODUCT_HW","3"
"Voice - Communications Manager","Certificates (CTL, ITL, TVS, TLS, SRTP, eTokens, Agent Flow SSO, Secure Conferencing)","A-FLEX-P-UCM-12X","2"
"Data Center Storage and Storage Area Networking (SAN)","Hyperflex Hardware Infrastructure - Upgrade","HX-FI-6248UP","3"
"SWL - L1 - Enterprise","SWL - L1 - Enterprise - Switching","C9500-40X","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C System/Other Issues","UCSB-B200-M4-U","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C System/Other Issues","UCSC-C240-M5SX","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C System/Other Issues","THIRD_PARTY_PRODUCT_HW","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C System/Other Issues","UCS-FI-6248UP","9"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C System/Other Issues","UCSC-C220-M3S","6"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C System/Other Issues","UCSC-C240-M5S","32"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C System/Other Issues","UCSB-B200-M5","6"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C System/Other Issues","UCS-M10CBL-C240M5","5"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C System/Other Issues","UCSC-C240-M4S","2"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C System/Other Issues","BE7K-PSU","1"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C System/Other Issues","UCS-FI-6248UP-UPG","1"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C System/Other Issues","UCSB-B200-M5-U","1"
"SWL - L1 - Non tech specific","SWL - L1 - Smart Account support","NA-CIN_CLOSE_HW","3"
"Data Center Storage and Storage Area Networking (SAN)","HyperFlex - Cisco Intersight","UCSC-C240-M5S","6"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS Virtualization Software - VMware (ISV1 contract required)","NA-TECHNOLOGY/SOFTWARE_ONLY","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Unexpected Infrastructure Reboot (IOM, Fabric Interconnect, etc.)","UCSC-C240-M5S","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Unexpected Infrastructure Reboot (IOM, Fabric Interconnect, etc.)","UCS-FI-6248UP-UPG","4"
"Hardware","Hardware failure, Need Replacement (RMA)","WS-X6716-10G-3C","3"
"Hardware","Hardware failure, Need Replacement (RMA)","X2-10GB-LR","9"
"Hardware","Hardware failure, Need Replacement (RMA)","WS-X6724-SFP","3"
"Hardware","Hardware failure, Need Replacement (RMA)","VS-S720-10G","3"
"Hardware","Hardware failure, Need Replacement (RMA)","QSFP-40G-LR4-S","9"
"Hardware","Hardware failure, Need Replacement (RMA)","EPA-2X40GE","3"
"Hardware","Hardware failure, Need Replacement (RMA)","N77-M348XP-23L","1"
"Hardware","Hardware failure, Need Replacement (RMA)","N77-M324FQ-25L","1"
"Hardware","Hardware failure, Need Replacement (RMA)","SFP-10G-LR-S=","2"
"Hardware","Hardware failure, Need Replacement (RMA)","QSFP-40G-LR4-S=","2"
"Application Networking Services","CSM (Content Switch Module)","THIRD_PARTY_PRODUCT_HW","3"
"Application Networking Services","CSM (Content Switch Module)","WS-X6066-SLB-APC=","6"
"LAN Switching","Cat6000, 6500 Hardware Failure","VS-C6509E-S720-10G","3"
"LAN Switching","Cat6000, 6500 Hardware Failure","WS-X6716-10GE","6"
"LAN Switching","Cat6000, 6500 Hardware Failure","WS-X6708-10GE","3"
"LAN Switching","Cat6000, 6500 Hardware Failure","WS-X6716-10G-3C","3"
"LAN Switching","Cat6000, 6500 Hardware Failure","WS-X6748-GE-TX=","3"
"LAN Switching","Cat6000, 6500 Hardware Failure","VS-S720-10G","3"
"LAN Switching","Cat6000, 6500 Hardware Failure","WS-X6724-SFP","3"
"Application Networking Services","ACE10/20 Application Control Engine Module","WS-X6066-SLB-APC","3"
"LAN Switching","Cat6000, 6500 Layer 3 Switching (MLS and CEF)","VS-S720-10G","3"
"Voice - Communications Manager Express (CME) and/or Unity Express (CUE)","Communications Manager Express (CME)","THIRD_PARTY_PRODUCT_HW","3"
"Voice - Communications Manager Express (CME) and/or Unity Express (CUE)","Communications Manager Express (CME) with SRST","CISCO2901-V/K9","6"
"Routing Protocols (Includes NAT and HSRP)","Static Routing","VS-C6509E-S720-10G","3"
"LAN Switching","Cat6500/6800 Unexpected Reboot","VS-C6509E-S720-10G","3"
"LAN Switching","Cat6500/6800 Unexpected Reboot","C6807-XL","1"
"LAN Switching","Cat6000, 6500 Troubleshooting Module and port issues","VS-C6509E-S720-10G","3"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Infrastructure (Services, UI, API, etc.)","DN1-HW-APL","12"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Infrastructure (Services, UI, API, etc.)","DN2-HW-APL","12"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Infrastructure (Services, UI, API, etc.)","DN2-HW-APL-XL","54"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Infrastructure (Services, UI, API, etc.)","C9300-48UN","3"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Infrastructure (Services, UI, API, etc.)","DN2-HW-APL-L","6"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Infrastructure (Services, UI, API, etc.)","DN2-HW-APL-U","3"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Infrastructure (Services, UI, API, etc.)","C9300-48U","3"
"Telepresence","Webex Room Panorama (On-Prem/not cloud registered)","CS-RCODPLUS-K9+","3"
"Telepresence","Webex Room Panorama (On-Prem/not cloud registered)","A-FLEX-P-UCM-12X","1"
"Cloud and Hybrid Products","Webex user management","PRODUCT_NOT_FOUND","3"
"Cloud and Hybrid Products","Webex user management","NA - VOICE_APPLICATION_SOFTWARE_ONLY","3"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wireless)","AIR-AP2802I-S-K9","3"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wireless)","DN2-HW-APL-XL","27"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wireless)","DN2-HW-APL","9"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wireless)","DN2-HW-APL-L","3"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wireless)","AIR-CT8540-K9","3"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wireless)","UCSC-C480-M5","3"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wireless)","ASR1002-HX","3"
"XR-Routing-Platforms","ASR 9000 Series Routers","ASR-9001-S","4"
"XR-Routing-Platforms","ASR 9000 Series Routers","ASR-9910","3"
"XR-Routing-Platforms","ASR 9000 Series Routers","A9K-RSP880-TR","3"
"XR-Routing-Platforms","ASR 9000 Series Routers","ASR-9006","3"
"XR-Routing-Platforms","ASR 9000 Series Routers","A9K-RSP880-TR=","2"
"Cloud and Hybrid Products","Webex Video Integration for Microsoft Teams (CVI)","NA - VOICE_APPLICATION_SOFTWARE_ONLY","3"
"Cisco DNA Center - Cloud","Cisco DNA Center Cloud - Assurance","AIR-CT8540-K9","3"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Discovery and Inventory","DN2-HW-APL-XL","10"
"Cloud and Hybrid Products","Webex Calling for VAR, Dedicated Instance (powered by BroadCloud, cloud-registered IP Phones)","NA - VOICE_APPLICATION_SOFTWARE_ONLY","3"
"XR-Routing-Platforms","ASR 9000 Series - Install/Upgrade/FPD/CSM","ASR-9922","3"
"XR-Routing-Platforms","ASR 9000 Series - Install/Upgrade/FPD/CSM","ASR-9006-SYS","1"
"Cisco DNA Center - On-Prem","Cisco DNA Center - License Manager (Licensing)","DN2-HW-APL","3"
"XR-Routing-Platforms","ASR 9000 Series - Hardware failures, Environmental Issues (Power, Fans, etc)","ASR-9006","3"
"XR-Routing-Platforms","ASR 9000 Series - Hardware failures, Environmental Issues (Power, Fans, etc)","A9K-RSP880-SE","3"
"XR-Routing-Platforms","ASR 9000 Series - Hardware failures, Environmental Issues (Power, Fans, etc)","ASR-9904","3"
"XR-Routing-Platforms","ASR 9000 Series - Hardware failures, Environmental Issues (Power, Fans, etc)","ASR-9006-FAN-V2","3"
"XR-Routing-Platforms","ASR 9000 Series - Hardware failures, Environmental Issues (Power, Fans, etc)","A9K-RSP880-TR","1"
"LAN Switching","Cat9300","C9300-48U-A","104"
"LAN Switching","Cat9300","C9300-48U","24"
"LAN Switching","Cat9300","THIRD_PARTY_PRODUCT_HW","3"
"LAN Switching","Cat9300","UCS-FI-6454","3"
"LAN Switching","Cat9300","C9300-NM-8X","3"
"LAN Switching","Cat9300","PWR-C1-1100WAC","1"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Provisioning","DN2-HW-APL","3"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Provisioning","DN2-HW-APL-XL","5"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Assurance","DN2-HW-APL-XL","14"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Assurance","C9300-48U","3"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Assurance","C6807-DNA-A","1"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Software Image Management (SWIM)","DN2-HW-APL","3"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Software Image Management (SWIM)","THIRD_PARTY_PRODUCT_HW","3"
"Cisco DNA Center - On-Prem","Cisco DNA Center - Software Image Management (SWIM)","DN2-HW-APL-XL","1"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wired)","DN2-HW-APL-XL","9"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wired)","ASR1009-X","9"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wired)","C9300-48U","18"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wired)","DN1-HW-APL","6"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wired)","C9500-48Y4C","3"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wired)","THIRD_PARTY_PRODUCT_HW","3"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wired)","C9300-48U-A","9"
"Cisco DNA Center - On-Prem","Cisco Software-Defined Access (SDA Wired)","ASR1002-HX","2"
"Cisco DNA Center - On-Prem","Cisco DNA Center - ISE Integration","DN2-HW-APL-XL","3"
"Cisco DNA Center - On-Prem","Cisco DNA Center - ISE Integration","DN2-HW-APL","3"
"Routing Protocols (Includes NAT and HSRP)","BGP","THIRD_PARTY_PRODUCT_HW","3"
"Routing Protocols (Includes NAT and HSRP)","BGP","VS-C6509E-S720-10G","3"
"Routing Protocols (Includes NAT and HSRP)","BGP","CSR-ASR1K2-CHT1-1","3"
"Routing Protocols (Includes NAT and HSRP)","BGP","ASR1009-X","3"
"Security - Network Firewalls and Intrusion Prevention Systems","FWSM (Firewall Services Module)","VS-C6509E-S720-10G","3"
"LAN Switching","Industrial Ethernet 4000 / 5000 (IE-4000 / 5000)","IE-4000-4GS8GP4G-E","6"
"LAN Switching","Industrial Ethernet 4000 / 5000 (IE-4000 / 5000)","IE-4000-4GC4GP4G-E","2"
"Wireless","2800 Series Access Point","AIR-AP2802I-S-K9","5"
"Wireless","2800 Series Access Point","AIR-CT8540-1K-K9","12"
"Wireless","2800 Series Access Point","AIR-AP2802I-Z-K9","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C Network Connectivity","UCSC-C220-M3S","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C Network Connectivity","UCS-FI-6248UP-UPG","1"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-C Network Connectivity","UCSC-C240-M5S","1"
"NMS (Network Management Services)","Cisco Prime Infrastructure (PI) 2.x and below - WAN (Wired)","WCS-APL-PA-K9","3"
